66	Вэнди Макдауэлл	\N	\N	\N	\N	2024-04-12 23:55:19.391214	\N
67	Крюс Уиллис	\N	\N	\N	\N	2024-04-12 23:55:19.422847	\N
68	Уго Уивинг	\N	\N	\N	\N	2024-04-12 23:55:19.457047	\N
69	Дженнифер Лоуренс	\N	\N	\N	\N	2024-04-12 23:55:19.48772	\N
70	Светлана Немоляева	\N	\N	\N	\N	2024-04-12 23:55:19.519931	\N
71	Александр Носик	\N	\N	\N	\N	2024-04-12 23:55:19.550187	\N
72	Джозеф Гордон-Левитт	\N	\N	\N	\N	2024-04-12 23:55:19.581017	\N
73	Крис Пратт	\N	\N	\N	\N	2024-04-12 23:55:19.614271	\N
74	Неслихан Атагюль	\N	\N	\N	\N	2024-04-12 23:55:19.647712	\N
75	Шарлто Копли	\N	\N	\N	\N	2024-04-12 23:55:19.680736	\N
76	Андрей Кончаловский	\N	\N	\N	\N	2024-04-12 23:55:19.712935	\N
77	Нина Ургант	\N	\N	\N	\N	2024-04-12 23:55:19.746686	\N
78	Салли Хокинс	\N	\N	\N	\N	2024-04-12 23:55:19.778774	\N
79	Олег Меньшиков	\N	\N	\N	\N	2024-04-12 23:55:19.811723	\N
80	Энн Хэтэуэй	\N	\N	\N	\N	2024-04-12 23:55:19.844439	\N
81	Николь Кидман	\N	\N	\N	\N	2024-04-12 23:55:19.878031	\N
82	Нина Русланова	\N	\N	\N	\N	2024-04-12 23:55:19.909812	\N
83	Том Харди	\N	\N	\N	\N	2024-04-12 23:55:19.940817	\N
84	Дензел Вашингтон	\N	\N	\N	\N	2024-04-12 23:55:19.974616	\N
85	Мэрил Стрип	\N	\N	\N	\N	2024-04-12 23:55:20.005248	\N
86	Сэмюэл Л. Джексон	\N	\N	\N	\N	2024-04-12 23:55:20.038107	\N
87	Илья Шакунов	\N	\N	\N	\N	2024-04-12 23:55:20.06967	\N
88	Зейнеп Тугчекин	\N	\N	\N	\N	2024-04-12 23:55:20.112517	\N
89	Зои Белл	\N	\N	\N	\N	2024-04-12 23:55:20.143469	\N
90	Арнольд Шварценеггер	\N	\N	\N	\N	2024-04-12 23:55:20.175445	\N
91	Майкл К. Уильямс	\N	\N	\N	\N	2024-04-12 23:55:20.206512	\N
92	Дебби Харри	\N	\N	\N	\N	2024-04-12 23:55:20.241203	\N
